primary_theme,all_themes,n_themes,authors,year,title,venue,doi,citations,subtheme,finding
Passivation & additives,Passivation & additives,1,Grancini et al.,2017,One-Year stable perovskite solar cells by 2D/3D interface engineering,Nature Communications,10.1038/ncomms15684,2040,2D capping & 2D/3D interfaces,Seminal 2D/3D interface engineering with aminovaleric-acid template yields one-year-stable devices; the 2D layer acts as a moisture-tolerant protective capping.
Passivation & additives,Passivation & additives,1,Chen et al.,2019,Imperfections and their passivation in halide perovskite solar cells,Chemical Society Reviews,10.1039/c8cs00853a,1918,Reviews & framing,Foundational review classifying perovskite defects and their passivation; frames undercoordinated Pb/I and halide vacancies as the dominant non-radiative and instability centers.
Passivation & additives,Passivation & additives,1,Abdi-Jalebi et al.,2018,Maximizing and stabilizing luminescence from halide perovskites with potassium passivation,Nature,10.1038/nature25989,1703,Alkali-halide additives (K/Rb),"Potassium passivation immobilizes excess halides at grain boundaries/surfaces, eliminating halide-vacancy-mediated hysteresis and stabilizing luminescence — a mechanistic keystone."
Passivation & additives,Passivation & additives,1,Wang et al.,2019,Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,Science,10.1126/science.aay9698,1305,Lewis-base & molecular surface passivation,Theophylline/caffeine/theobromine passivators: an optimal molecular configuration (carbonyl + amine H-bond donors) maximizes binding to undercoordinated Pb and defect passivation.
Passivation & additives,Passivation & additives,1,Zheng et al.,2020,Managing grains and interfaces via ligand anchoring enables 22.3%-efficiency inverted perovskite solar cells,Nature Energy,10.1038/s41560-019-0538-4,1238,Grain & interface ligand anchoring,"Long-chain ligand anchoring manages grains and interfaces, passivating boundary defects to reach 22.3% with improved stability."
Passivation & additives,Passivation & additives,1,Son et al.,2018,Universal Approach toward Hysteresis-Free Perovskite Solar Cell via Defect Engineering,Journal of the American Chemical Society,10.1021/jacs.7b10430,886,Alkali-halide additives (K/Rb),"KI addition gives hysteresis-free devices by having K+/I- fill halide vacancies and immobilize mobile iodide, improving operational stability."
Passivation & additives,Passivation & additives,1,Li et al.,2023,Rational design of Lewis base molecules for stable and efficient inverted perovskite solar cells,Science,10.1126/science.ade3970,635,Lewis-base & molecular surface passivation,Rational design of Lewis-base molecules for inverted cells; tuning donor atom and steric profile optimizes defect binding for simultaneously high efficiency and stability.
Passivation & additives,Passivation & additives,1,Sidhik et al.,2022,Deterministic fabrication of 3D/2D perovskite bilayer stacks for durable and efficient solar cells,Science,10.1126/science.abq7652,531,2D capping & 2D/3D interfaces,"Deterministically grown 3D/2D bilayer stacks provide durable operation under heat, light and bias by stabilizing the 3D surface with an epitaxial 2D cap."
Passivation & additives,Passivation & additives,1,Jodlowski et al.,2017,Large guanidinium cation mixed with methylammonium in lead iodide perovskites for 19% efficient solar cells,Nature Energy,10.1038/s41560-017-0054-3,526,A-site pinning cations (guanidinium),"Seminal guanidinium incorporation into MAPbI3: GA+ H-bonds to the iodide cage, raising carrier lifetimes and materially improving thermal/operational stability."
Passivation & additives,Passivation & additives; Device stability,2,Park et al.,2023,Engineering ligand reactivity enables high-temperature operation of stable perovskite solar cells,Science,10.1126/science.adi4107,464,Ligand reactivity & operation,"Engineering ligand reactivity yields surface layers stable at high temperature, enabling durable operation under thermal stress."
Passivation & additives,Passivation & additives,1,Zhang et al.,2023,Tailoring passivators for highly efficient and stable perovskite solar cells,Nature Reviews Chemistry,10.1038/s41570-023-00510-0,373,Reviews & framing,"Recent review systematizing passivator design rules (Lewis base/acid, ionic, multifunctional) linking molecular structure to both efficiency and operational stability."
Passivation & additives,Passivation & additives,1,Alharbi et al.,2019,Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells,Nature Communications,10.1038/s41467-019-10985-5,360,Lewis-base & molecular surface passivation,"Combined experiment/DFT shows ammonium salts passivate via hydrogen bonding of NH-groups to surface halides, suppressing halide-vacancy states and improving stability."
Passivation & additives,Passivation & additives,1,Cao et al.,2018,Interstitial Occupancy by Extrinsic Alkali Cations in Perovskites and Its Impact on Ion Migration,Advanced Materials,10.1002/adma.201707350,356,Alkali-halide additives (K/Rb),"Extrinsic alkali cations (K/Rb) occupy interstitial sites rather than A-sites, explaining their defect-immobilizing action and stabilization of the lattice."
Passivation & additives,Passivation & additives,1,Gharibzadeh et al.,2021,Two birds with one stone: dual grain-boundary and interface passivation enables &gt;22% efficient inverted methylammonium-free perovskite solar cells,Energy & Environmental Science,10.1039/d1ee01508g,286,Grain & interface ligand anchoring,"Dual grain-boundary and interface passivation ('two birds, one stone') with a single additive suppresses recombination and improves wide-bandgap-cell stability."
Passivation & additives,Passivation & additives,1,Ding et al.,2024,Dopant-additive synergism enhances perovskite solar modules,Nature,10.1038/s41586-024-07228-z,283,Dopant/additive synergy & modules,"Dopant-additive synergism translates to perovskite solar modules with enhanced stability, showing molecular passivation scales beyond small cells."
Passivation & additives,Passivation & additives,1,Wang et al.,2023,Ammonium cations with high pKa in perovskite solar cells for improved high-temperature photostability,Nature Energy,10.1038/s41560-023-01362-0,240,Ammonium-salt additives,"High-pKa ammonium cations resist deprotonation, giving more robust surface passivation and markedly improved operational and thermal stability in inverted cells."
Passivation & additives,Passivation & additives,1,Metcalf et al.,2023,"Synergy of 3D and 2D Perovskites for Durable, Efficient Solar Cells and Beyond",Chemical Reviews,10.1021/acs.chemrev.3c00214,231,2D capping & 2D/3D interfaces,Chemical Reviews synthesis of how 3D+2D synergy delivers durability: the 2D capping suppresses ion migration and moisture ingress while passivating the surface.
Passivation & additives,Passivation & additives,1,Hartono et al.,2020,How machine learning can help select capping layers to suppress perovskite degradation,Nature Communications,10.1038/s41467-020-17945-4,178,2D capping & 2D/3D interfaces,Data-driven screening of A-site cations for capping layers identifies molecular descriptors that predict which capping molecules best suppress degradation.
Passivation & additives,Passivation & additives,1,Li et al.,2022,Inhibiting Ion Migration by Guanidinium Cation Doping for Efficient Perovskite Solar Cells with Enhanced Operational Stability,Solar RRL,10.1002/solr.202200003,14,A-site pinning cations (guanidinium),"Guanidinium doping directly suppresses ion migration (higher activation energy) via strong hydrogen bonding, reducing hysteresis and improving stability."
Device stability,Device stability,1,Al‐Ashouri et al.,2020,Monolithic perovskite/silicon tandem solar cell with &gt;29% efficiency by enhanced hole extraction,Science,10.1126/science.abd4016,2024,SAM hole-selective contacts,2PACz-family self-assembled-monolayer hole contacts enable >29% inverted tandems and became the standard stable p-i-n contact.
Device stability,Device stability,1,Boyd et al.,2018,Understanding Degradation Mechanisms and Improving Stability of Perovskite Photovoltaics,Chemical Reviews,10.1021/acs.chemrev.8b00336,1740,Degradation mechanisms,Comprehensive mechanistic review connecting intrinsic/extrinsic degradation pathways to concrete device stabilization strategies.
Device stability,Device stability,1,Chen et al.,2024,Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands,Science,10.1126/science.adm9474,1301,Inverted p-i-n stability,Dual-site-binding ligands improve charge extraction and operational stability of inverted cells.
Device stability,Device stability,1,Domanski et al.,2016,Not All That Glitters Is Gold: Metal-Migration-Induced Degradation in Perovskite Solar Cells,ACS Nano,10.1021/acsnano.6b02613,1225,Electrode/contact degradation,"Gold electrode migrates through the HTL into the absorber under thermal stress, causing irreversible metal-migration degradation."
Device stability,Device stability,1,Christians et al.,2018,"Tailored interfaces of unencapsulated perovskite solar cells for &gt;1,000 hour operational stability",Nature Energy,10.1038/s41560-017-0067-y,825,Interface engineering / long-life,"Tailored transport-layer interfaces sustain >1,000 h operation in unencapsulated cells, isolating interfacial degradation as decisive."
Device stability,Device stability,1,Azmi et al.,2022,Damp heat–stable perovskite solar cells with tailored-dimensionality 2D/3D heterojunctions,Science,10.1126/science.abm5784,819,Damp-heat stability,Tailored-dimensionality 2D/3D heterojunctions yield damp-heat-stable cells passing the IEC 61215:2016 damp-heat test.
Device stability,Device stability,1,Li et al.,2023,Stabilized hole-selective layer for high-performance inverted p-i-n perovskite solar cells,Science,10.1126/science.ade9637,780,Inverted p-i-n stability,"Stabilized hole-selective layer delivers high-performance, operationally stable inverted p-i-n cells."
Device stability,Device stability,1,Zhu et al.,2023,Long-term operating stability in perovskite photovoltaics,Nature Reviews Materials,10.1038/s41578-023-00582-w,700,Operational stability review,Review separating intrinsic operational (light+bias) degradation from shelf/thermal stability and mapping dominant MPP-operation loss channels.
Device stability,Device stability,1,Rombach et al.,2021,Lessons learned from spiro-OMeTAD and PTAA in perovskite solar cells,Energy & Environmental Science,10.1039/d1ee02095a,699,Charge-transport-layer degradation,Ionic dopants/additives in spiro-OMeTAD and PTAA drive instability; guides design of durable organic hole contacts.
Device stability,Device stability,1,Li et al.,2020,Towards commercialization: the operational stability of perovskite solar cells,Chemical Society Reviews,10.1039/d0cs00573h,626,Operational stability review,Frames operational stability as the commercialization bottleneck; catalogues bias/light/thermal degradation and stack-wide mitigations.
Device stability,Device stability,1,Tang et al.,2024,Reinforcing self-assembly of hole transport molecules for stable inverted perovskite solar cells,Science,10.1126/science.adj9602,511,SAM hole-selective contacts,"Anti-desorption anchoring reinforces SAM self-assembly, suppressing the SAM-detachment failure mode of inverted cells."
Device stability,Device stability,1,Shi et al.,2020,Gas chromatography–mass spectrometry analyses of encapsulated stable perovskite solar cells,Science,10.1126/science.aba2412,488,Encapsulation / lead containment,GC-MS-guided encapsulation controls outgassing for stable operation and limits lead leakage under mechanical damage.
Device stability,Device stability,1,Cheacharoen et al.,2017,Design and understanding of encapsulated perovskite solar cells to withstand temperature cycling,Energy & Environmental Science,10.1039/c7ee02564e,444,Encapsulation,Rationally designed encapsulation lets cells survive IEC 61215 damp-heat and thermal-cycling accelerated aging.
Device stability,Device stability,1,Ma et al.,2021,Development of encapsulation strategies towards the commercialization of perovskite solar cells,Energy & Environmental Science,10.1039/d1ee02882k,382,Encapsulation / commercialization,"Reviews encapsulation-barrier strategies (edge seals, desiccants, barrier films) required to move perovskite cells toward commercial module stability."
Device stability,Device stability,1,Jacobsson et al.,2021,An open-access database and analysis tool for perovskite solar cells based on the FAIR data principles,Nature Energy,10.1038/s41560-021-00941-3,349,Protocols & reporting,Open-access Perovskite Database (>42k devices) enables data-driven meta-analysis of stability trends and exposes reporting inconsistencies.
Device stability,Device stability,1,Aydın et al.,2020,Interplay between temperature and bandgap energies on the outdoor performance of perovskite/silicon tandem solar cells,Nature Energy,10.1038/s41560-020-00687-4,317,Outdoor / field stability,Outdoor field data reveal temperature-bandgap interplay governs real energy yield and degradation of perovskite and tandem devices.
Device stability,Device stability,1,Jiang et al.,2023,Towards linking lab and field lifetimes of perovskite solar cells,Nature,10.1038/s41586-023-06610-7,270,Lab-to-field gap,"Combined accelerated indoor protocols are shown to predict field degradation, beginning to bridge the lab-to-field lifetime gap."
Device stability,Device stability,1,Boyd et al.,2018,Barrier Design to Prevent Metal-Induced Degradation and Improve Thermal Stability in Perovskite Solar Cells,ACS Energy Letters,10.1021/acsenergylett.8b00926,267,Electrode/contact degradation,Inserting a diffusion-barrier interlayer blocks metal-electrode-induced degradation and improves thermal stability.
Device stability,Device stability,1,Thiesbrummel et al.,2024,Ion-induced field screening as a dominant factor in perovskite solar cell operational stability,Nature Energy,10.1038/s41560-024-01487-w,232,Operational mechanism,"Mobile-ion accumulation screens the built-in field under operation — a dominant, partly reversible performance-loss factor distinct from recombination."
Device stability,Device stability,1,López et al.,2026,The long road to outdoor stability: real-world challenges for controlling perovskite materials for solar cells,Chemical Society Reviews,10.1039/d5cs01085c,3,Outdoor stability review,2026 review of real-world outdoor-stability challenges and the persistent gap between accelerated indoor tests and field deployment.
Computational methods,Computational methods,1,Henkelman et al.,2000,A climbing image nudged elastic band method for finding saddle points and minimum energy paths,The Journal of Chemical Physics,10.1063/1.1329672,21370,NEB / migration-barrier methods,Climbing-image NEB locates saddle points and migration barriers; the standard method for computing E_a in solids.
Computational methods,Computational methods,1,Freysoldt et al.,2014,First-principles calculations for point defects in solids,Reviews of Modern Physics,10.1103/revmodphys.86.253,2931,Charged-defect DFT & finite-size corrections,"Authoritative review of first-principles charged-defect formalism: formation energies, chemical potentials, corrections, functional/SOC choices."
Computational methods,Computational methods,1,Yin et al.,2014,Unusual defect physics in CH3NH3PbI3 perovskite solar cell absorber,Applied Physics Letters,10.1063/1.4864778,2667,Charged-defect DFT & finite-size corrections,"Foundational DFT showing MAPbI3 has only shallow, low-formation-energy defects — the origin of perovskite 'defect tolerance'."
Computational methods,Computational methods,1,Batzner et al.,2022,E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials,Nature Communications,10.1038/s41467-022-29939-5,1718,MLIP architectures & foundation models,NequIP: E(3)-equivariant GNN achieving DFT accuracy with orders-of-magnitude less training data.
Computational methods,Computational methods,1,Freysoldt et al.,2009,Fully Ab Initio Finite-Size Corrections for Charged-Defect Supercell Calculations,Physical Review Letters,10.1103/physrevlett.102.016402,1564,Charged-defect DFT & finite-size corrections,Introduces the ab initio (FNV) electrostatic correction removing spurious periodic-image interactions for charged defects.
Computational methods,Computational methods,1,Chen et al.,2022,A universal graph deep learning interatomic potential for the periodic table,Nature Computational Science,10.1038/s43588-022-00349-3,881,MLIP architectures & foundation models,"M3GNet universal potential covering the periodic table, enabling relaxation/MD of arbitrary crystals."
Computational methods,Computational methods,1,Deng et al.,2023,CHGNet as a pretrained universal neural network potential for charge-informed atomistic modelling,Nature Machine Intelligence,10.1038/s42256-023-00716-3,801,MLIP architectures & foundation models,CHGNet: charge-informed universal potential encoding magnetic moments/charge states for redox-active MD.
Computational methods,Computational methods,1,Lu et al.,2018,Accelerated discovery of stable lead-free hybrid organic-inorganic perovskites via machine learning,Nature Communications,10.1038/s41467-018-05761-w,721,High-throughput & ML stability screening,ML-accelerated HT screening of hybrid double perovskites for thermodynamic stability and band gap.
Computational methods,Computational methods,1,Kumagai et al.,2014,Electrostatics-based finite-size corrections for first-principles point defect calculations,Physical Review B,10.1103/physrevb.89.195205,505,Charged-defect DFT & finite-size corrections,Kumagai-Oba extension of FNV to anisotropic systems using atomic-site potential alignment — widely used for perovskites.
Computational methods,Computational methods,1,Batatia et al.,2025,A foundation model for atomistic materials chemistry,The Journal of Chemical Physics,10.1063/5.0297006,206,MLIP architectures & foundation models,MACE-MP-0 foundation model: one pretrained MLIP for MD across the periodic table.
Computational methods,Computational methods,1,Riebesell et al.,2025,A framework to evaluate machine learning crystal stability predictions,Nature Machine Intelligence,10.1038/s42256-025-01055-1,121,MLIP benchmarking & systematic softening,Matbench Discovery: community benchmark ranking universal MLIPs on stability prediction; exposes over-stabilization biases.
Computational methods,Computational methods,1,Deng et al.,2025,Systematic softening in universal machine learning interatomic potentials,npj Computational Materials,10.1038/s41524-024-01500-6,120,MLIP benchmarking & systematic softening,Systematic softening: universal MLIPs underestimate forces and energy barriers; fine-tuning/loss reweighting mitigates it.
Computational methods,Computational methods,1,Focassio et al.,2024,Performance Assessment of Universal Machine Learning Interatomic Potentials: Challenges and Directions for Materials’ Surfaces,ACS Applied Materials & Interfaces,10.1021/acsami.4c03815,103,MLIP benchmarking & systematic softening,"Assessment showing universal MLIPs (M3GNet, CHGNet, MACE) reproduce trends but with systematic errors on defect/surface energetics."
Computational methods,Computational methods,1,Cheng,2025,Latent Ewald summation for machine learning of long-range interactions,npj Computational Materials,10.1038/s41524-025-01577-7,72,Long-range electrostatics in MLIPs,Latent Ewald summation captures long-range electrostatics in MLIPs at near-linear cost — critical for charged defects.
Computational methods,Computational methods,1,Pols et al.,2023,How fast do defects migrate in halide perovskites: insights from on-the-fly machine-learned force fields,Chemical Communications,10.1039/d3cc00953j,30,MD / defect migration in perovskites,MLIP-driven MD quantifying how fast vacancies migrate in halide perovskites at finite temperature.
Computational methods,Computational methods,1,Barroso-Luque et al.,2026,The Open Materials 2024 (OMat24) inorganic materials dataset and models,Nature Computational Science,10.1038/s43588-026-00996-w,5,MLIP architectures & foundation models,OMat24: >100M-structure dataset with non-equilibrium/rattled configs improving foundation-model force accuracy.
Computational methods,Computational methods,1,Wang et al.,2026,Multi-fidelity Machine Learning Interatomic Potentials for Charged Point Defects,arXiv preprint,arxiv:2603.05238,0,Long-range electrostatics in MLIPs,Multi-fidelity MLIP scheme injecting charged-defect electrostatics to fix long-range errors for defect migration.
Computational methods,Computational methods,1,Batatia et al.,2022,MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields,arXiv preprint,arxiv:2206.07697,0,MLIP architectures & foundation models,MACE higher-order equivariant message passing — the architecture underlying the perovskite MLIP spine.
Computational methods,Computational methods,1,Bheemaguli et al.,2025,Evaluation of Foundational Machine Learned Interatomic Potentials for Migration Barrier Predictions,Digital Discovery,10.1039/d5dd00534e,0,MLIP benchmarking & systematic softening,"Benchmarks five foundation MLIPs (MACE-MP-0, Orb-v3, SevenNet, CHGNet, M3GNet) coupled to NEB against DFT-NEB migration barriers across battery/ionic-conductor chemistries; MACE-MP-0 and Orb-v3 lowest-error, and barrier accuracy found uncorrelated with geometry accuracy."
